,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_reg_alpha,param_reg_lambda,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
35,199.91004240512848,0.35736048221588135,0.2883780002593994,0.002110004425048828,5,1,1,"{'max_depth': 5, 'reg_alpha': 1, 'reg_lambda': 1}",0.37752,0.37792,0.37772,0.00019999999999997797,2
36,236.76421439647675,0.47783052921295166,0.304728627204895,0.0022515058517456055,6,0,0,"{'max_depth': 6, 'reg_alpha': 0, 'reg_lambda': 0}",0.37112,0.36312,0.36712,0.0040000000000000036,48
37,236.99360048770905,0.7611204385757446,0.31487560272216797,0.0009713172912597656,6,0,0.5,"{'max_depth': 6, 'reg_alpha': 0, 'reg_lambda': 0.5}",0.3712,0.36768,0.36944,0.0017599999999999838,43
38,236.11163556575775,0.9885884523391724,0.3384692668914795,0.024829387664794922,6,0,1,"{'max_depth': 6, 'reg_alpha': 0, 'reg_lambda': 1}",0.36832,0.3748,0.37156,0.0032400000000000206,29
39,240.0474350452423,2.2953848838806152,0.31715238094329834,0.004296660423278809,6,0.5,0,"{'max_depth': 6, 'reg_alpha': 0.5, 'reg_lambda': 0}",0.3756,0.36848,0.37204,0.0035600000000000076,27
40,238.62918949127197,0.6857717037200928,0.32035601139068604,0.001267075538635254,6,0.5,0.5,"{'max_depth': 6, 'reg_alpha': 0.5, 'reg_lambda': 0.5}",0.37456,0.37768,0.37612,0.0015600000000000058,5
41,238.26644814014435,0.5998870134353638,0.3378000259399414,0.014864921569824219,6,0.5,1,"{'max_depth': 6, 'reg_alpha': 0.5, 'reg_lambda': 1}",0.37648,0.37216,0.37432,0.0021599999999999953,12
42,238.91857481002808,0.927480936050415,0.33891308307647705,0.002539992332458496,6,1,0,"{'max_depth': 6, 'reg_alpha': 1, 'reg_lambda': 0}",0.37544,0.37552,0.37548000000000004,4.000000000001225e-05,6
43,238.41443300247192,0.5812249183654785,0.3268994092941284,0.010299324989318848,6,1,0.5,"{'max_depth': 6, 'reg_alpha': 1, 'reg_lambda': 0.5}",0.37848,0.3704,0.37444,0.004039999999999988,11
44,238.83849501609802,0.8858890533447266,0.3342643976211548,0.008914589881896973,6,1,1,"{'max_depth': 6, 'reg_alpha': 1, 'reg_lambda': 1}",0.38152,0.37632,0.37892000000000003,0.002600000000000019,1
45,275.01925909519196,0.38371002674102783,0.3567444086074829,0.0023404359817504883,7,0,0,"{'max_depth': 7, 'reg_alpha': 0, 'reg_lambda': 0}",0.36072,0.35936,0.36004,0.0006799999999999862,54
46,275.3209158182144,0.8335851430892944,0.36129045486450195,0.0018124580383300781,7,0,0.5,"{'max_depth': 7, 'reg_alpha': 0, 'reg_lambda': 0.5}",0.36872,0.3712,0.36995999999999996,0.0012399999999999911,42
47,274.0282393693924,0.5360594987869263,0.3710806369781494,0.010832548141479492,7,0,1,"{'max_depth': 7, 'reg_alpha': 0, 'reg_lambda': 1}",0.37448,0.3672,0.37084,0.0036399999999999766,34
48,276.7533391714096,1.3778458833694458,0.3750159740447998,0.0024709701538085938,7,0.5,0,"{'max_depth': 7, 'reg_alpha': 0.5, 'reg_lambda': 0}",0.37208,0.366,0.36904000000000003,0.003040000000000015,44
49,277.0674070119858,0.606653094291687,0.37863659858703613,0.0017442703247070312,7,0.5,0.5,"{'max_depth': 7, 'reg_alpha': 0.5, 'reg_lambda': 0.5}",0.37648,0.37152,0.374,0.0024799999999999822,15
50,276.3527590036392,0.8944250345230103,0.3896465301513672,0.00046443939208984375,7,0.5,1,"{'max_depth': 7, 'reg_alpha': 0.5, 'reg_lambda': 1}",0.37792,0.37072,0.37432,0.003599999999999992,12
51,276.33140540122986,0.546919584274292,0.3978877067565918,0.0013647079467773438,7,1,0,"{'max_depth': 7, 'reg_alpha': 1, 'reg_lambda': 0}",0.37336,0.37136,0.37236,0.0010000000000000009,23
52,276.2377220392227,0.7009550333023071,0.39989280700683594,0.00042700767517089844,7,1,0.5,"{'max_depth': 7, 'reg_alpha': 1, 'reg_lambda': 0.5}",0.37648,0.37376,0.37512,0.00136,9
53,276.565061211586,1.1901730298995972,0.40128254890441895,0.00024247169494628906,7,1,1,"{'max_depth': 7, 'reg_alpha': 1, 'reg_lambda': 1}",0.37672,0.37008,0.3734,0.0033199999999999896,18
